,Station,2016,2017,2018,2019,2020,2021,2022,Average_traffic,Colors,X,Y
142,Mornington Crescent,5039573.0,4779258.0,4300182.0,4001482.0,1331040.0,1425296.0,2672239.0,2644213.8571428573,"0.8677893071428571,0.8677893071428571,1",-0.13884253,51.53420661
143,Neasden,3749439.0,3646639.0,3400938.0,3450466.0,2478884.0,1564012.0,2491433.0,2433196.0,"0.8783402,0.8783402,1",-0.249782873,51.55396572
144,Newbury Park,5429546.0,5249584.0,4729847.0,5079924.0,3168498.0,2218404.0,3526527.0,3424683.4285714286,"0.8287658285714286,0.8287658285714286,1",0.090337314,51.57557249
145,North Acton,6530887.0,6459225.0,5909108.0,6241955.0,3717589.0,3148552.0,5227467.0,4386270.857142857,"0.7806864571428571,0.7806864571428571,1",-0.259737386,51.52336556
146,North Ealing,905402.0,786073.0,798689.0,880333.0,507381.0,357588.0,588313.0,559768.1428571428,"0.9720115928571429,0.9720115928571429,1",-0.28900498,51.51755516
147,North Greenwich,26452132.0,26585096.0,24549011.0,28280620.0,9641852.0,11279522.0,21202411.0,17362644.57142857,"0.13186777142857142,0.13186777142857142,1",0.003607417,51.50018182
148,North Harrow,1968198.0,1833325.0,1835839.0,1930536.0,954512.0,769257.0,1306156.0,1232803.5714285714,"0.9383598214285714,0.9383598214285714,1",-0.362223573,51.58479185
149,North Wembley,1791287.0,1684067.0,1589646.0,1572051.0,1225092.0,778946.0,1204024.0,1150546.5714285714,"0.9424726714285714,0.9424726714285714,1",-0.304155735,51.56249029
150,Northfields,3913283.0,3785696.0,3664816.0,3975886.0,1899266.0,1630938.0,2626178.0,2511825.714285714,"0.8744087142857143,0.8744087142857143,1",-0.314156833,51.49927648
151,Northolt,5157171.0,4921293.0,4784063.0,4976954.0,3383878.0,2467440.0,3961099.0,3499246.714285714,"0.8250376642857142,0.8250376642857142,1",-0.368459834,51.54815044
152,Northwick Park,4651799.0,4311177.0,4142560.0,4357031.0,2426206.0,1836276.0,3168082.0,2891618.8571428573,"0.8554190571428572,0.8554190571428572,1",-0.318206357,51.57859284
153,Northwood,2488831.0,2897563.0,2630662.0,2743087.0,1515209.0,1274615.0,2044570.0,1872243.7142857143,"0.9063878142857142,0.9063878142857142,1",-0.423860794,51.61115923
154,Northwood Hills,1910904.0,1918400.0,1856472.0,1903375.0,1165488.0,831677.0,1340929.0,1288048.7142857143,"0.9355975642857143,0.9355975642857143,1",-0.409298631,51.60049458
155,Notting Hill Gate,17184657.0,15456337.0,13812400.0,15070782.0,5682051.0,6404193.0,11694553.0,9731473.714285715,"0.5134263142857143,0.5134263142857143,1",-0.196537685,51.50906353
156,Oakwood,2875067.0,2736346.0,2648492.0,2780380.0,1310286.0,1290796.0,2231254.0,1856793.4285714286,"0.9071603285714286,0.9071603285714286,1",-0.131841721,51.64758365
157,Old Street,25966550.0,25083479.0,25533008.0,27107822.0,6683590.0,9635310.0,16178065.0,15745896.285714285,"0.21270518571428576,0.21270518571428576,1",-0.087549731,51.52560132
158,Osterley,2315575.0,2079080.0,2043230.0,2179739.0,963611.0,911252.0,1737364.0,1416325.142857143,"0.9291837428571429,0.9291837428571429,1",-0.351994405,51.4809288
159,Oval,6447853.0,6983973.0,7027340.0,7170152.0,3313152.0,3129276.0,5361113.0,4712143.714285715,"0.7643928142857143,0.7643928142857143,1",-0.112893409,51.48210545
160,Oxford Circus,83258977.0,79778619.0,73639833.0,78073457.0,14598777.0,32863152.0,54022846.0,47568097.71428572,"0,0,1",-0.141768984,51.5151238
161,Paddington,49480436.0,,,,,,,,"nan,nan,1",-0.175390006,51.51531042
162,Park Royal,2015314.0,1923720.0,1896819.0,2047993.0,1245850.0,918333.0,1653036.0,1383678.7142857143,"0.9308160642857143,0.9308160642857143,1",-0.284228016,51.52690138
163,Parsons Green,6746851.0,6442093.0,6357956.0,6558793.0,3026008.0,2993897.0,5028968.0,4343959.285714285,"0.7828020357142857,0.7828020357142857,1",-0.201234657,51.47509533
164,Perivale,2460144.0,2389751.0,2425638.0,2444064.0,1503990.0,1080893.0,1686109.0,1647206.4285714286,"0.9176396785714286,0.9176396785714286,1",-0.323852038,51.53659409
165,Piccadilly Circus,41291525.0,38573777.0,36004485.0,38396960.0,4175738.0,14144793.0,27682697.0,22711207.14285714,"0,0,1",-0.134006366,51.510027
166,Pimlico,11485039.0,10422636.0,10282108.0,10813686.0,4243221.0,4058878.0,6928011.0,6678362.857142857,"0.6660818571428571,0.6660818571428571,1",-0.133748665,51.48919376
167,Pinner,3198703.0,3266903.0,3366921.0,2960479.0,1360437.0,1280875.0,2106745.0,2048908.5714285714,"0.8975545714285714,0.8975545714285714,1",-0.380919804,51.59285763
168,Plaistow,5490616.0,5816650.0,5815124.0,5567660.0,3769831.0,2671882.0,4014434.0,3950797.285714286,"0.8024601357142858,0.8024601357142858,1",0.017804699,51.53121839
169,Preston Road,3308379.0,3447448.0,3200118.0,3230285.0,2030454.0,1388173.0,2297341.0,2227688.4285714286,"0.8886155785714286,0.8886155785714286,1",-0.2952563,51.57203799
170,Putney Bridge,5416663.0,5113846.0,5278188.0,5766944.0,2626929.0,2686314.0,4810117.0,3754619.714285714,"0.8122690142857143,0.8122690142857143,1",-0.208976678,51.46790222
171,Queen's Park,5636721.0,5361846.0,5183914.0,5412178.0,2775384.0,2380111.0,4148784.0,3608888.1428571427,"0.8195555928571429,0.8195555928571429,1",-0.20470409,51.5341009
172,Queensbury,4675024.0,4416312.0,4173051.0,4114533.0,2855288.0,1835750.0,3065100.0,2922862.0,"0.8538569,0.8538569,1",-0.285785682,51.59434715
173,Queensway,8707156.0,8031860.0,7661884.0,8254515.0,2119882.0,3619504.0,6518486.0,5172304.428571428,"0.7413847785714286,0.7413847785714286,1",-0.187434461,51.51038005
174,Ravenscourt Park,3178278.0,3055656.0,3087532.0,3228328.0,1921494.0,1533828.0,2583723.0,2201508.714285714,"0.8899245642857143,0.8899245642857143,1",-0.236258354,51.49413653
175,Rayners Lane,4460978.0,4112035.0,3912652.0,4159999.0,2336745.0,1778250.0,3039620.0,2762757.285714286,"0.8618621357142857,0.8618621357142857,1",-0.371005564,51.5749767
176,Redbridge,3054243.0,2789938.0,2715368.0,2804018.0,1564820.0,1259738.0,2042273.0,1882307.857142857,"0.9058846071428571,0.9058846071428571,1",0.045423116,51.57630179
177,Regent's Park,3346006.0,3438858.0,3460614.0,3867435.0,1628977.0,1265551.0,2147300.0,2258390.714285714,"0.8870804642857143,0.8870804642857143,1",-0.146862635,51.5235055
178,Richmond,8112159.0,7883382.0,7998532.0,8081806.0,2167117.0,2196602.0,3738887.0,4580903.714285715,"0.7709548142857143,0.7709548142857143,1",-0.301754218,51.46315964
179,Rickmansworth,2455761.0,2587429.0,2256420.0,2387979.0,1385890.0,1098469.0,1766012.0,1640314.142857143,"0.9179842928571429,0.9179842928571429,1",-0.473712107,51.64027271
180,Roding Valley,367335.0,352989.0,459286.0,449612.0,190163.0,155226.0,259271.0,266649.5714285714,"0.9866675214285714,0.9866675214285714,1",0.043864415,51.61711524
181,Royal Oak,2545583.0,2486491.0,2587512.0,2608698.0,1251188.0,1185481.0,1977095.0,1728066.4285714286,"0.9135966785714286,0.9135966785714286,1",-0.188230043,51.51901712
182,Ruislip,1948970.0,1890042.0,1929049.0,1932543.0,948688.0,821706.0,1367228.0,1269893.7142857143,"0.9365053142857143,0.9365053142857143,1",-0.421455074,51.57144911
183,Ruislip Gardens,1072221.0,1106458.0,1039276.0,1106583.0,549192.0,476607.0,766348.0,720637.7142857143,"0.9639681142857143,0.9639681142857143,1",-0.411039285,51.5605885
184,Ruislip Manor,1993852.0,1943537.0,1872804.0,1893831.0,988143.0,839242.0,1353734.0,1270184.4285714286,"0.9364907785714286,0.9364907785714286,1",-0.412345792,51.57318768
185,Russell Square,12345236.0,10853914.0,11896108.0,12274252.0,2744465.0,3655414.0,8588433.0,7144655.142857143,"0.6427672428571429,0.6427672428571429,1",-0.124310056,51.52291285
186,Seven Sisters,18605749.0,17340179.0,17536699.0,17020209.0,10305872.0,7364300.0,16720076.0,12326762.142857144,"0.3836618928571428,0.3836618928571428,1",-0.072491881,51.58335418
187,Sloane Square,17147936.0,16372926.0,15929561.0,16585916.0,6276139.0,7380128.0,12769299.0,10759138.42857143,"0.46204307857142857,0.46204307857142857,1",-0.156486232,51.49228782
188,Snaresbrook,2694225.0,2787010.0,2298797.0,2378289.0,1185716.0,1083968.0,1668766.0,1628935.142857143,"0.9185532428571428,0.9185532428571428,1",0.021490462,51.58082702
189,South Ealing,3617189.0,3477368.0,3357981.0,3518542.0,1630782.0,1495186.0,2505100.0,2283565.5714285714,"0.8858217214285714,0.8858217214285714,1",-0.307018839,51.50136794
190,South Harrow,2484237.0,2107487.0,2081548.0,2167602.0,1581956.0,1013772.0,1674310.0,1518096.4285714286,"0.9240951785714285,0.9240951785714285,1",-0.352211571,51.56467757
191,South Kensington,33603151.0,31994140.0,32056414.0,33071847.0,9805549.0,10824383.0,24332469.0,20297828.85714286,"0,0,1",-0.173922311,51.49399987
192,South Kenton,1170483.0,1147945.0,1389793.0,1415443.0,969471.0,626386.0,1012436.0,937353.4285714285,"0.9531323285714286,0.9531323285714286,1",-0.308588675,51.57017169
193,South Ruislip,1758094.0,1926405.0,1895804.0,1952608.0,992838.0,888276.0,1410940.0,1295267.2857142857,"0.9352366357142857,0.9352366357142857,1",-0.398658757,51.55651696
194,South Wimbledon,4759428.0,4627559.0,4626925.0,4654244.0,1992804.0,1937293.0,3302306.0,3020161.5714285714,"0.8489919214285715,0.8489919214285715,1",-0.191979094,51.41528037
195,South Woodford,5247294.0,5022133.0,4876210.0,5271035.0,2308574.0,2380524.0,3790939.0,3378487.8571428573,"0.8310756071428571,0.8310756071428571,1",0.027317134,51.59172565
196,Southfields,6275587.0,5732747.0,5747476.0,5860615.0,2902818.0,2695552.0,4446603.0,3912258.714285714,"0.8043870642857143,0.8043870642857143,1",-0.206537544,51.44493133
197,Southgate,5647834.0,5304983.0,5170481.0,5429160.0,2705625.0,2312226.0,3779589.0,3528866.285714286,"0.8235566857142858,0.8235566857142858,1",-0.127758393,51.63231971
198,Southwark,17861867.0,15946577.0,15133433.0,14953717.0,3568419.0,5034192.0,8916716.0,9079007.714285715,"0.5460496142857143,0.5460496142857143,1",-0.105091836,51.50384301
199,St. James's Park,14934536.0,13664987.0,14169247.0,14479978.0,2919119.0,3901970.0,8542648.0,8239707.0,"0.5880146500000001,0.5880146500000001,1",-0.134183744,51.49934546
200,St. John's Wood,7791962.0,7399877.0,7480779.0,7610612.0,4113555.0,3464027.0,5629161.0,5099715.857142857,"0.7450142071428572,0.7450142071428572,1",-0.174172356,51.53456452
201,St. Paul's,18422362.0,16417294.0,12081030.0,15815893.0,3861774.0,5359932.0,9130661.0,8952369.142857144,"0.5523815428571428,0.5523815428571428,1",-0.097573654,51.5148013
202,Stamford Brook,2700007.0,2557655.0,2621529.0,2749841.0,1317072.0,1223866.0,2114025.0,1797712.5714285714,"0.9101143714285714,0.9101143714285714,1",-0.245453795,51.49479623
203,Stanmore,4040589.0,3717315.0,3762665.0,3853243.0,2021467.0,1729034.0,2898971.0,2568956.4285714286,"0.8715521785714286,0.8715521785714286,1",-0.303108171,51.61961834
204,Stepney Green,6411775.0,6023114.0,6081225.0,5988691.0,2463108.0,2707641.0,4691603.0,3993626.0,"0.8003187,0.8003187,1",-0.046458666,51.52191063
205,Stockwell,11423478.0,11089126.0,10565894.0,11075026.0,5370518.0,4614856.0,7461301.0,7168103.0,"0.6415948499999999,0.6415948499999999,1",-0.122909312,51.47216654
206,Stonebridge Park,2530036.0,2412008.0,2391234.0,2426837.0,1982465.0,1237627.0,2204940.0,1807873.0,"0.90960635,0.90960635,1",-0.275409248,51.54392229
207,Stratford,67047270.0,58586655.0,61553342.0,64853194.0,25071500.0,29106619.0,47881009.0,41007474.14285714,"0,0,1",-0.00319533,51.54130927
208,Sudbury Hill,1976543.0,1790959.0,1776550.0,1910960.0,1451606.0,889529.0,1507933.0,1332505.2857142857,"0.9333747357142858,0.9333747357142858,1",-0.336215632,51.55699619
209,Sudbury Town,1996547.0,1718575.0,1654830.0,1825805.0,1278124.0,835671.0,1389322.0,1243189.5714285714,"0.9378405214285714,0.9378405214285714,1",-0.315482697,51.55078246
210,Swiss Cottage,7578603.0,7369274.0,7034394.0,7130168.0,2891037.0,3001198.0,4937419.0,4623355.714285715,"0.7688322142857142,0.7688322142857142,1",-0.174759253,51.54331532
211,Temple,8223970.0,8561001.0,8957017.0,8743279.0,1323354.0,3070900.0,6371669.0,5289602.857142857,"0.7355198571428572,0.7355198571428572,1",-0.11370309,51.51096998
212,Theydon Bois,850065.0,905705.0,889000.0,896336.0,493721.0,423967.0,679199.0,612561.1428571428,"0.9693719428571429,0.9693719428571429,1",0.103125377,51.67171132
213,Tooting Bec,7922887.0,7658810.0,7570365.0,7670661.0,3509976.0,3610529.0,5943410.0,5137678.714285715,"0.7431160642857142,0.7431160642857142,1",-0.15970054,51.43575963
214,Tooting Broadway,15922071.0,15371262.0,15218284.0,15427848.0,8102118.0,6892544.0,11623863.0,10376559.857142856,"0.4811720071428571,0.4811720071428571,1",-0.167976763,51.42743539
215,Tottenham Court Road,39346254.0,39193558.0,38649304.0,41988765.0,6045302.0,16036231.0,48952679.0,27266548.42857143,"0,0,1",-0.130870518,51.51620955
216,Tottenham Hale,13213806.0,11889159.0,12965971.0,14026843.0,7264852.0,7115066.0,12492329.0,9393460.0,"0.530327,0.530327,1",-0.060281116,51.5880453
217,Totteridge & Whetstone,2232086.0,2416108.0,2418680.0,2523102.0,1030907.0,1064853.0,1809400.0,1609007.142857143,"0.9195496428571428,0.9195496428571428,1",-0.179261213,51.6302077
218,Tower Hill,21834402.0,19897981.0,21524392.0,20586761.0,4116750.0,7328488.0,15398014.0,12693198.0,"0.36534009999999995,0.36534009999999995,1",-0.076353695,51.51006595
219,Tufnell Park,3707186.0,3895273.0,3980735.0,4051401.0,1360667.0,1540273.0,2968537.0,2542412.285714286,"0.8728793857142857,0.8728793857142857,1",-0.137924881,51.55666682
220,Turnham Green,5650263.0,5845936.0,5816381.0,5839620.0,2563212.0,2661114.0,4683256.0,3915645.5714285714,"0.8042177214285714,0.8042177214285714,1",-0.254532983,51.49511173
221,Turnpike Lane,10857089.0,10162189.0,9948987.0,10603832.0,5636483.0,4494164.0,7890066.0,6962245.857142857,"0.6518877071428572,0.6518877071428572,1",-0.102792275,51.59029677
222,Upminster,5339344.0,5266228.0,4336857.0,4764016.0,2440980.0,2214271.0,3768771.0,3255874.714285714,"0.8372062642857143,0.8372062642857143,1",0.251087116,51.55888908
223,Upminster Bridge,1159376.0,1096940.0,1153892.0,1107953.0,786733.0,507765.0,739660.0,770420.4285714285,"0.9614789785714286,0.9614789785714286,1",0.23577122,51.55875051
224,Upney,2719998.0,2567807.0,2595098.0,2546936.0,1867666.0,1241844.0,1943046.0,1823199.5714285714,"0.9088400214285715,0.9088400214285715,1",0.101565626,51.53833531
225,Upton Park,10141620.0,9097854.0,9693275.0,9708180.0,6677841.0,4784244.0,7685139.0,6806647.571428572,"0.6596676214285714,0.6596676214285714,1",0.03527318,51.5352333
226,Uxbridge,8452417.0,7980024.0,7914648.0,7992197.0,4034024.0,3486758.0,5756484.0,5309162.142857143,"0.7345418928571429,0.7345418928571429,1",-0.478139472,51.54649637
227,Vauxhall,32234468.0,29257502.0,30407334.0,32303635.0,15463373.0,13623576.0,20877534.0,20276136.285714287,"0,0,1",-0.123748951,51.48573338
228,Victoria,83501204.0,75163165.0,82964036.0,85468928.0,22954962.0,33480926.0,56430221.0,50923176.85714286,"0,0,1",-0.143844854,51.49634217
229,Walthamstow Central,22766326.0,9089459.0,17123414.0,18918347.0,10443276.0,7906474.0,12810972.0,10898848.857142856,"0.4550575571428572,0.4550575571428572,1",-0.019918639,51.58295471
230,Wanstead,2960642.0,2804581.0,2703432.0,2771619.0,1137200.0,1181072.0,1879178.0,1782440.2857142857,"0.9108779857142857,0.9108779857142857,1",0.028745919,51.57552134
231,Warren Street,20346625.0,19218263.0,19376983.0,18245765.0,7744299.0,7038704.0,13006335.0,12090049.857142856,"0.39549750714285714,0.39549750714285714,1",-0.138272313,51.52451152
232,Warwick Avenue,4506260.0,4047265.0,3912072.0,3999622.0,1682785.0,1673860.0,2872126.0,2598247.1428571427,"0.8700876428571429,0.8700876428571429,1",-0.183678271,51.52327252
233,Waterloo,100362256.0,86887788.0,77373119.0,82934325.0,16621546.0,29868623.0,68719185.0,51772083.71428572,"0,0,1",-0.114069436,51.50350221
234,Watford,1836559.0,1771435.0,1705035.0,1924615.0,1403495.0,955674.0,1678824.0,1348439.7142857143,"0.9325780142857143,0.9325780142857143,1",-0.417280632,51.65742097
235,Wembley Central,5769748.0,5618729.0,5513701.0,5650760.0,3772644.0,2708193.0,4369287.0,3947616.285714286,"0.8026191857142857,0.8026191857142857,1",-0.296859445,51.55232997
236,Wembley Park,15103629.0,15712048.0,15473222.0,15423884.0,8289529.0,7894562.0,15002565.0,11113687.142857144,"0.44431564285714287,0.44431564285714287,1",-0.279251009,51.56326048
237,West Acton,1820883.0,1629156.0,1596024.0,1710258.0,835889.0,709948.0,1098089.0,1082766.2857142857,"0.9458616857142857,0.9458616857142857,1",-0.28099329,51.51786059
238,West Brompton,6098173.0,5609357.0,5213438.0,5200463.0,2391605.0,2734932.0,4421399.0,3653027.714285714,"0.8173486142857143,0.8173486142857143,1",-0.195540834,51.48725695
239,West Finchley,1665191.0,1605581.0,1581383.0,1637337.0,685418.0,705772.0,1196676.0,1058881.0,"0.94705595,0.94705595,1",-0.18846887,51.60948571
240,West Ham,3459634.0,4174658.0,4549177.0,4550687.0,3278813.0,2718754.0,4514604.0,3398099.0,"0.83009505,0.83009505,1",0.005039507,51.52818177
241,West Hampstead,11039789.0,11207001.0,10317092.0,10488823.0,4955039.0,4472941.0,7098774.0,6934238.571428572,"0.6532880714285714,0.6532880714285714,1",-0.19074985,51.54670198
242,West Harrow,1489512.0,1453150.0,1596411.0,1281592.0,690469.0,560543.0,937962.0,931446.7142857143,"0.9534276642857142,0.9534276642857142,1",-0.352920631,51.57977819
243,West Kensington,5060671.0,4964196.0,4583968.0,4871929.0,2096566.0,2028753.0,3611426.0,3165262.5714285714,"0.8417368714285715,0.8417368714285715,1",-0.206477115,51.49049169
244,West Ruislip,1666851.0,1634281.0,1435407.0,1557760.0,694477.0,708681.0,1143714.0,1024902.8571428572,"0.9487548571428571,0.9487548571428571,1",-0.437886437,51.56952886
245,Westbourne Park,3978228.0,3928366.0,4018763.0,4132837.0,2253686.0,1823204.0,3208554.0,2766487.1428571427,"0.8616756428571428,0.8616756428571428,1",-0.200883771,51.52092085
246,Westminster,28378426.0,24219994.0,24497646.0,22560365.0,6463756.0,7699650.0,17981143.0,14774650.57142857,"0.26126747142857143,0.26126747142857143,1",-0.124818265,51.50108458
247,White City,8953281.0,8433511.0,8389590.0,9559843.0,4005703.0,4624537.0,7391603.0,6057826.714285715,"0.6971086642857143,0.6971086642857143,1",-0.224254319,51.51197811
248,Whitechapel,14369235.0,13137261.0,13130309.0,13089592.0,7621990.0,6205116.0,14269347.0,9636230.714285715,"0.5181884642857142,0.5181884642857142,1",-0.059984983,51.51945525
249,Willesden Green,8972604.0,8331012.0,7950840.0,7966014.0,4290015.0,3384122.0,5349685.0,5324526.857142857,"0.7337736571428571,0.7337736571428571,1",-0.222410152,51.54930889
250,Willesden Junction,4728227.0,4453456.0,4984206.0,5129843.0,3994257.0,2631398.0,4412252.0,3657916.0,"0.8171042,0.8171042,1",-0.244288895,51.5321915
251,Wimbledon,13395119.0,11956760.0,11900167.0,12528740.0,7040552.0,7056386.0,11516014.0,8856945.57142857,"0.5571527214285714,0.5571527214285714,1",-0.206381587,51.42138372
252,Wimbledon Park,1893927.0,2074785.0,2155334.0,2149788.0,1140075.0,1053984.0,1703908.0,1468267.7142857143,"0.9265866142857143,0.9265866142857143,1",-0.199595272,51.43446419
253,Wood Green,13204130.0,12202222.0,11447694.0,12133990.0,6578240.0,5433153.0,9117031.0,8130332.857142857,"0.5934833571428572,0.5934833571428572,1",-0.109626381,51.59747603
254,Woodford,5692577.0,5682132.0,5619040.0,5862279.0,2754342.0,2663457.0,4243208.0,3832065.4285714286,"0.8083967285714286,0.8083967285714286,1",0.034037144,51.60703337
255,Woodside Park,2869951.0,3366132.0,4040169.0,4349739.0,1956318.0,2015727.0,3470324.0,2742629.8571428573,"0.8628685071428571,0.8628685071428571,1",-0.185421028,51.61781141
256,New Cross,,2784006.0,2660707.0,2655302.0,1492538.0,1532792.0,2157537.0,1897554.5714285714,"0.9051222714285714,0.9051222714285714,1",-0.032594571,51.4766742
257,New Cross Gate,,6886621.0,5850998.0,5606001.0,2076254.0,2724966.0,4593780.0,3962660.0,"0.801867,0.801867,1",-0.040299579,51.47533738
258,Rotherhithe,,1826741.0,1817189.0,1786036.0,601765.0,860347.0,1384298.0,1182339.4285714286,"0.9408830285714286,0.9408830285714286,1",-0.052180998,51.50100569
259,Surrey Quays,,4926621.0,4742011.0,4873849.0,2084074.0,2939844.0,4280981.0,3406768.5714285714,"0.8296615714285714,0.8296615714285714,1",-0.047514931,51.49319346
260,Wapping,,2481764.0,2512598.0,2548862.0,775518.0,1340834.0,2126986.0,1683794.5714285714,"0.9158102714285714,0.9158102714285714,1",-0.055846251,51.50426828
261,All Saints,,2034156.0,2075415.0,2113995.0,1211243.0,1131935.0,1638762.0,1457929.4285714286,"0.9271035285714285,0.9271035285714285,1",-0.01275175,51.51101008
262,Beckton,,2532056.0,2376180.0,2364126.0,1866578.0,1373476.0,2071330.0,1797678.0,"0.9101161,0.9101161,1",0.060942442,51.51513328
263,Beckton Park,,688907.0,732001.0,508725.0,165824.0,287548.0,486582.0,409941.0,"0.97950295,0.97950295,1",0.054897747,51.50894379
264,Blackwall,,1924981.0,1879514.0,1973374.0,901590.0,1097865.0,1356748.0,1304867.4285714286,"0.9347566285714286,0.9347566285714286,1",-0.007108497,51.50821611
265,Bow Church,,3543715.0,3522329.0,3552013.0,2291713.0,1655934.0,2642011.0,2458245.0,"0.87708775,0.87708775,1",-0.020691424,51.52733311
266,Custom House,,0.0,2242447.0,2205585.0,774342.0,2065445.0,,,"nan,nan,1",0.027684411,51.50954382
267,Cutty Sark,,7430815.0,6747837.0,7083717.0,2561980.0,3920658.0,6426895.0,4881700.285714285,"0.7559149857142857,0.7559149857142857,1",-0.010858773,51.48169437
268,Cyprus,,1888241.0,1859018.0,1993882.0,877612.0,1138664.0,2021485.0,1396986.0,"0.9301507,0.9301507,1",0.06353852,51.50879193
269,Deptford Bridge,,4242465.0,4005170.0,4214301.0,1139053.0,1766459.0,2768033.0,2590783.0,"0.87046085,0.87046085,1",-0.021550621,51.47428472
270,Devons Road,,2372121.0,2468678.0,2624213.0,1418974.0,1447472.0,2171521.0,1786139.857142857,"0.9106930071428572,0.9106930071428572,1",-0.017224616,51.52217508
271,East India,,3662137.0,3637806.0,3878104.0,1703338.0,2333112.0,3976650.0,2741592.4285714286,"0.8629203785714286,0.8629203785714286,1",-0.002748664,51.50904125
272,Elverson Road,,1965251.0,1683418.0,1700793.0,992404.0,884912.0,1345384.0,1224594.5714285714,"0.9387702714285714,0.9387702714285714,1",-0.017467307,51.46881943
273,Gallions Reach,,1405306.0,1484206.0,1416166.0,870533.0,1095624.0,1692208.0,1137720.4285714286,"0.9431139785714285,0.9431139785714285,1",0.072220033,51.50953809
274,Greenwich,,5205602.0,4936188.0,4854886.0,2084916.0,2725047.0,4829043.0,3519383.1428571427,"0.8240308428571429,0.8240308428571429,1",-0.014198817,51.47775782
275,Heron Quays,,8677976.0,7916332.0,8150993.0,2308727.0,3857998.0,5268097.0,5168589.0,"0.74157055,0.74157055,1",-0.021744065,51.50306792
276,Island Gardens,,2898807.0,2716573.0,2708635.0,1328528.0,1514372.0,2191259.0,1908310.5714285714,"0.9045844714285715,0.9045844714285715,1",-0.00948951,51.48667164
277,Mudchute,,2134183.0,2131157.0,2124149.0,1027512.0,1142393.0,1556245.0,1445091.2857142857,"0.9277454357142857,0.9277454357142857,1",-0.015091215,51.49036418
278,Poplar,,4713917.0,4567851.0,4967283.0,1135902.0,825604.0,1170604.0,2483023.0,"0.87584885,0.87584885,1",-0.017228774,51.50748844
279,Prince Regent,,3068336.0,2584885.0,2438593.0,952650.0,1381287.0,1537427.0,1709025.4285714286,"0.9145487285714285,0.9145487285714285,1",0.033295485,51.50932067
280,Pudding Mill Lane,,595193.0,763548.0,855872.0,619028.0,614843.0,2637285.0,869395.5714285715,"0.9565302214285715,0.9565302214285715,1",-0.013174228,51.53440084
281,Royal Albert,,1778768.0,1759509.0,1821951.0,642156.0,798208.0,1343343.0,1163419.2857142857,"0.9418290357142857,0.9418290357142857,1",0.046216594,51.50819634
282,Royal Victoria,,4935448.0,3883072.0,3968052.0,2219789.0,2286632.0,2625546.0,2845505.5714285714,"0.8577247214285715,0.8577247214285715,1",0.018078557,51.50906211
283,South Quay,,5921106.0,6076155.0,6501819.0,1990713.0,2497386.0,3938364.0,3846506.1428571427,"0.8076746928571429,0.8076746928571429,1",-0.019101694,51.50053201
284,Tower Gateway,,4485971.0,4780256.0,4905211.0,1344452.0,2401001.0,3125555.0,3006063.714285714,"0.8496968142857143,0.8496968142857143,1",-0.074530961,51.51056664
285,West India Quay,,1280769.0,1355439.0,1305312.0,296160.0,1329826.0,2805612.0,1196159.7142857143,"0.9401920142857143,0.9401920142857143,1",-0.020148081,51.50663844
286,Westferry,,4999283.0,4953763.0,5266544.0,2579546.0,3049242.0,4170218.0,3574085.1428571427,"0.8212957428571428,0.8212957428571428,1",-0.025791956,51.50943178
